id,year,month,day,hr,min,sec,Lat,Lon,depth,Mw,time_date
209,2016,10,4,12,41,35,42.8558,13.1177,9.1,3.61,04/10/2016 12:41
210,2016,10,5,12,29,31,42.6382,13.2192,12.5,3.2,05/10/2016 12:29
211,2016,10,6,5,34,18,42.7935,13.2173,9.7,3.19,06/10/2016 05:34
212,2016,10,7,7,46,6,42.9013,13.2503,8.5,3.24,07/10/2016 07:46
213,2016,10,8,8,15,1,42.7802,13.2003,10.2,3.16,08/10/2016 08:15
214,2016,10,8,12,19,3,42.7502,13.1823,8.7,3.68,08/10/2016 12:19
215,2016,10,8,12,40,58,42.7517,13.193,10.7,3.16,08/10/2016 12:40
216,2016,10,8,12,40,58,42.7508,13.1932,10.7,3.16,08/10/2016 12:40
217,2016,10,8,18,11,9,42.7433,13.1927,10.9,3.92,08/10/2016 18:11
218,2016,10,9,2,47,28,42.7442,13.1948,10.2,3.06,09/10/2016 02:47
219,2016,10,9,4,42,42,42.7437,13.1953,9.5,3.61,09/10/2016 04:42
220,2016,10,11,7,32,50,42.8562,13.2533,8.5,3.02,11/10/2016 07:32
221,2016,10,11,21,24,10,42.8672,13.0747,8.2,3.15,11/10/2016 21:24
222,2016,10,13,4,56,49,42.8657,13.0728,8.8,3.06,13/10/2016 04:56
223,2016,10,14,4,9,20,42.6318,13.329,11.1,3.33,14/10/2016 04:09
224,2016,10,16,9,32,35,42.7542,13.1767,9.6,4.1,16/10/2016 09:32
225,2016,10,16,14,28,24,42.8465,13.1532,9.9,3.3,16/10/2016 14:28
226,2016,10,19,0,52,12,42.8102,13.2312,9.1,3.01,19/10/2016 00:52
227,2016,10,26,17,10,36,42.8788,13.1287,9.3,5.43,26/10/2016 17:10
228,2016,10,26,18,34,34,42.8712,13.1428,8.2,3.01,26/10/2016 18:34
229,2016,10,26,18,39,19,42.8808,13.0925,10,3.36,26/10/2016 18:39
230,2016,10,26,19,0,29,42.9073,13.1157,9,3.21,26/10/2016 19:00
231,2016,10,26,19,16,57,42.8792,13.1567,8.4,4.25,26/10/2016 19:16
232,2016,10,26,19,18,5,42.9152,13.1278,8.4,5.87,26/10/2016 19:18
233,2016,10,26,19,25,18,42.9357,13.0747,8.5,3.91,26/10/2016 19:25
234,2016,10,26,19,27,54,42.8898,13.0818,9.6,3.41,26/10/2016 19:27
235,2016,10,26,19,34,26,42.9472,13.0557,9.9,3.28,26/10/2016 19:34
236,2016,10,26,19,37,17,42.9188,13.1197,9,3.03,26/10/2016 19:37
237,2016,10,26,19,43,43,42.8932,13.0693,9.8,3.78,26/10/2016 19:43
238,2016,10,26,19,49,26,42.9647,13.0598,10.1,3.53,26/10/2016 19:49
239,2016,10,26,19,53,27,42.8632,13.2208,9.1,3.1,26/10/2016 19:53
240,2016,10,26,19,54,18,43.0025,13.0592,10.1,3.18,26/10/2016 19:54
241,2016,10,26,20,3,29,42.9852,13.125,8.9,3.39,26/10/2016 20:03
242,2016,10,26,20,4,7,43.0127,13.1227,5.7,3.41,26/10/2016 20:04
